id,scan_t1ce,scan_t2,scan_flair,scan_t1,label,center_x,center_y,center_z,x_extreme_min,x_extreme_max,y_extreme_min,y_extreme_max,z_extreme_min,z_extreme_max,x_size,y_size,z_size
01488-000,../../DataSet/ASNR-MICCAI-BraTS2023-GLI-Challenge-TrainingData/BraTS-GLI-01488-000/BraTS-GLI-01488-000-t1c.nii.gz,../../DataSet/ASNR-MICCAI-BraTS2023-GLI-Challenge-TrainingData/BraTS-GLI-01488-000/BraTS-GLI-01488-000-t2w.nii.gz,../../DataSet/ASNR-MICCAI-BraTS2023-GLI-Challenge-TrainingData/BraTS-GLI-01488-000/BraTS-GLI-01488-000-t2f.nii.gz,../../DataSet/ASNR-MICCAI-BraTS2023-GLI-Challenge-TrainingData/BraTS-GLI-01488-000/BraTS-GLI-01488-000-t1n.nii.gz,../../DataSet/ASNR-MICCAI-BraTS2023-GLI-Challenge-TrainingData/BraTS-GLI-01488-000/BraTS-GLI-01488-000-seg.nii.gz,104,158,110,80,123,128,183,81,137,43,55,56
00219-000,../../DataSet/ASNR-MICCAI-BraTS2023-GLI-Challenge-TrainingData/BraTS-GLI-00219-000/BraTS-GLI-00219-000-t1c.nii.gz,../../DataSet/ASNR-MICCAI-BraTS2023-GLI-Challenge-TrainingData/BraTS-GLI-00219-000/BraTS-GLI-00219-000-t2w.nii.gz,../../DataSet/ASNR-MICCAI-BraTS2023-GLI-Challenge-TrainingData/BraTS-GLI-00219-000/BraTS-GLI-00219-000-t2f.nii.gz,../../DataSet/ASNR-MICCAI-BraTS2023-GLI-Challenge-TrainingData/BraTS-GLI-00219-000/BraTS-GLI-00219-000-t1n.nii.gz,../../DataSet/ASNR-MICCAI-BraTS2023-GLI-Challenge-TrainingData/BraTS-GLI-00219-000/BraTS-GLI-00219-000-seg.nii.gz,140,124,83,127,170,103,145,63,98,43,42,35
01459-000,../../DataSet/ASNR-MICCAI-BraTS2023-GLI-Challenge-TrainingData/BraTS-GLI-01459-000/BraTS-GLI-01459-000-t1c.nii.gz,../../DataSet/ASNR-MICCAI-BraTS2023-GLI-Challenge-TrainingData/BraTS-GLI-01459-000/BraTS-GLI-01459-000-t2w.nii.gz,../../DataSet/ASNR-MICCAI-BraTS2023-GLI-Challenge-TrainingData/BraTS-GLI-01459-000/BraTS-GLI-01459-000-t2f.nii.gz,../../DataSet/ASNR-MICCAI-BraTS2023-GLI-Challenge-TrainingData/BraTS-GLI-01459-000/BraTS-GLI-01459-000-t1n.nii.gz,../../DataSet/ASNR-MICCAI-BraTS2023-GLI-Challenge-TrainingData/BraTS-GLI-01459-000/BraTS-GLI-01459-000-seg.nii.gz,153,181,51,128,175,149,201,20,71,47,52,51
01038-000,../../DataSet/ASNR-MICCAI-BraTS2023-GLI-Challenge-TrainingData/BraTS-GLI-01038-000/BraTS-GLI-01038-000-t1c.nii.gz,../../DataSet/ASNR-MICCAI-BraTS2023-GLI-Challenge-TrainingData/BraTS-GLI-01038-000/BraTS-GLI-01038-000-t2w.nii.gz,../../DataSet/ASNR-MICCAI-BraTS2023-GLI-Challenge-TrainingData/BraTS-GLI-01038-000/BraTS-GLI-01038-000-t2f.nii.gz,../../DataSet/ASNR-MICCAI-BraTS2023-GLI-Challenge-TrainingData/BraTS-GLI-01038-000/BraTS-GLI-01038-000-t1n.nii.gz,../../DataSet/ASNR-MICCAI-BraTS2023-GLI-Challenge-TrainingData/BraTS-GLI-01038-000/BraTS-GLI-01038-000-seg.nii.gz,148,170,71,117,179,138,207,41,103,62,69,62
00341-000,../../DataSet/ASNR-MICCAI-BraTS2023-GLI-Challenge-TrainingData/BraTS-GLI-00341-000/BraTS-GLI-00341-000-t1c.nii.gz,../../DataSet/ASNR-MICCAI-BraTS2023-GLI-Challenge-TrainingData/BraTS-GLI-00341-000/BraTS-GLI-00341-000-t2w.nii.gz,../../DataSet/ASNR-MICCAI-BraTS2023-GLI-Challenge-TrainingData/BraTS-GLI-00341-000/BraTS-GLI-00341-000-t2f.nii.gz,../../DataSet/ASNR-MICCAI-BraTS2023-GLI-Challenge-TrainingData/BraTS-GLI-00341-000/BraTS-GLI-00341-000-t1n.nii.gz,../../DataSet/ASNR-MICCAI-BraTS2023-GLI-Challenge-TrainingData/BraTS-GLI-00341-000/BraTS-GLI-00341-000-seg.nii.gz,138,171,85,120,160,135,201,62,112,40,66,50
01501-000,../../DataSet/ASNR-MICCAI-BraTS2023-GLI-Challenge-TrainingData/BraTS-GLI-01501-000/BraTS-GLI-01501-000-t1c.nii.gz,../../DataSet/ASNR-MICCAI-BraTS2023-GLI-Challenge-TrainingData/BraTS-GLI-01501-000/BraTS-GLI-01501-000-t2w.nii.gz,../../DataSet/ASNR-MICCAI-BraTS2023-GLI-Challenge-TrainingData/BraTS-GLI-01501-000/BraTS-GLI-01501-000-t2f.nii.gz,../../DataSet/ASNR-MICCAI-BraTS2023-GLI-Challenge-TrainingData/BraTS-GLI-01501-000/BraTS-GLI-01501-000-t1n.nii.gz,../../DataSet/ASNR-MICCAI-BraTS2023-GLI-Challenge-TrainingData/BraTS-GLI-01501-000/BraTS-GLI-01501-000-seg.nii.gz,153,133,63,113,183,86,181,33,97,70,95,64
00087-000,../../DataSet/ASNR-MICCAI-BraTS2023-GLI-Challenge-TrainingData/BraTS-GLI-00087-000/BraTS-GLI-00087-000-t1c.nii.gz,../../DataSet/ASNR-MICCAI-BraTS2023-GLI-Challenge-TrainingData/BraTS-GLI-00087-000/BraTS-GLI-00087-000-t2w.nii.gz,../../DataSet/ASNR-MICCAI-BraTS2023-GLI-Challenge-TrainingData/BraTS-GLI-00087-000/BraTS-GLI-00087-000-t2f.nii.gz,../../DataSet/ASNR-MICCAI-BraTS2023-GLI-Challenge-TrainingData/BraTS-GLI-00087-000/BraTS-GLI-00087-000-t1n.nii.gz,../../DataSet/ASNR-MICCAI-BraTS2023-GLI-Challenge-TrainingData/BraTS-GLI-00087-000/BraTS-GLI-00087-000-seg.nii.gz,146,124,67,113,174,88,175,27,108,61,87,81
00056-000,../../DataSet/ASNR-MICCAI-BraTS2023-GLI-Challenge-TrainingData/BraTS-GLI-00056-000/BraTS-GLI-00056-000-t1c.nii.gz,../../DataSet/ASNR-MICCAI-BraTS2023-GLI-Challenge-TrainingData/BraTS-GLI-00056-000/BraTS-GLI-00056-000-t2w.nii.gz,../../DataSet/ASNR-MICCAI-BraTS2023-GLI-Challenge-TrainingData/BraTS-GLI-00056-000/BraTS-GLI-00056-000-t2f.nii.gz,../../DataSet/ASNR-MICCAI-BraTS2023-GLI-Challenge-TrainingData/BraTS-GLI-00056-000/BraTS-GLI-00056-000-t1n.nii.gz,../../DataSet/ASNR-MICCAI-BraTS2023-GLI-Challenge-TrainingData/BraTS-GLI-00056-000/BraTS-GLI-00056-000-seg.nii.gz,155,117,68,125,183,79,163,38,97,58,84,59
01277-000,../../DataSet/ASNR-MICCAI-BraTS2023-GLI-Challenge-TrainingData/BraTS-GLI-01277-000/BraTS-GLI-01277-000-t1c.nii.gz,../../DataSet/ASNR-MICCAI-BraTS2023-GLI-Challenge-TrainingData/BraTS-GLI-01277-000/BraTS-GLI-01277-000-t2w.nii.gz,../../DataSet/ASNR-MICCAI-BraTS2023-GLI-Challenge-TrainingData/BraTS-GLI-01277-000/BraTS-GLI-01277-000-t2f.nii.gz,../../DataSet/ASNR-MICCAI-BraTS2023-GLI-Challenge-TrainingData/BraTS-GLI-01277-000/BraTS-GLI-01277-000-t1n.nii.gz,../../DataSet/ASNR-MICCAI-BraTS2023-GLI-Challenge-TrainingData/BraTS-GLI-01277-000/BraTS-GLI-01277-000-seg.nii.gz,155,145,65,125,185,108,180,35,96,60,72,61
00390-000,../../DataSet/ASNR-MICCAI-BraTS2023-GLI-Challenge-TrainingData/BraTS-GLI-00390-000/BraTS-GLI-00390-000-t1c.nii.gz,../../DataSet/ASNR-MICCAI-BraTS2023-GLI-Challenge-TrainingData/BraTS-GLI-00390-000/BraTS-GLI-00390-000-t2w.nii.gz,../../DataSet/ASNR-MICCAI-BraTS2023-GLI-Challenge-TrainingData/BraTS-GLI-00390-000/BraTS-GLI-00390-000-t2f.nii.gz,../../DataSet/ASNR-MICCAI-BraTS2023-GLI-Challenge-TrainingData/BraTS-GLI-00390-000/BraTS-GLI-00390-000-t1n.nii.gz,../../DataSet/ASNR-MICCAI-BraTS2023-GLI-Challenge-TrainingData/BraTS-GLI-00390-000/BraTS-GLI-00390-000-seg.nii.gz,168,116,55,98,184,79,142,35,90,86,63,55
