case,dice_mean,dice_wt,dice_tc,dice_et,iou_mean,iou_wt,iou_tc,iou_et
BraTS-GLI-00819-000_real_label_45,0.707277,0.876407,0.311716,0.933709,0.613433,0.780004,0.184635,0.875660
BraTS-GLI-00819-000_real_label_47,0.728877,0.911028,0.389132,0.886469,0.624750,0.836595,0.241567,0.796089
BraTS-GLI-00819-000_real_label_48,0.728854,0.885872,0.361848,0.938841,0.633582,0.795126,0.220888,0.884731
BraTS-GLI-00819-000_real_label_51,0.741780,0.898694,0.386362,0.940282,0.647586,0.816026,0.239435,0.887295
BraTS-GLI-00819-000_real_label_52,0.700445,0.907424,0.270615,0.923296,0.614846,0.830537,0.156480,0.857520
BraTS-GLI-00819-000_real_label_54,0.715100,0.889393,0.321070,0.934838,0.623234,0.800817,0.191235,0.877648
BraTS-GLI-00819-000_real_label_55,0.721214,0.885397,0.343339,0.934906,0.626459,0.794361,0.207248,0.877768
BraTS-GLI-00819-000_real_label_56,0.721481,0.905586,0.317787,0.941071,0.635024,0.827461,0.188910,0.888701
BraTS-GLI-00819-000_real_label_60,0.704920,0.871998,0.311618,0.931144,0.609591,0.773046,0.184566,0.871159
BraTS-GLI-00819-000_real_label_63,0.715815,0.862227,0.345580,0.939639,0.617617,0.757819,0.208883,0.886151
BraTS-GLI-00819-000_real_label_68,0.714771,0.899783,0.317046,0.927485,0.623662,0.817823,0.188386,0.864777
BraTS-GLI-00819-000_real_label_7,0.699629,0.877730,0.336871,0.884285,0.592409,0.782102,0.202552,0.792573
BraTS-GLI-00819-000_real_label_72,0.722787,0.898836,0.339362,0.930163,0.630020,0.816259,0.204356,0.869445
BraTS-GLI-00819-000_real_label_73,0.701784,0.868349,0.311052,0.925950,0.604536,0.767329,0.184169,0.862111
BraTS-GLI-00819-000_real_label_76,0.694179,0.859717,0.310948,0.911871,0.592021,0.753950,0.184096,0.838017
BraTS-GLI-00819-000_real_label_78,0.705812,0.876406,0.315550,0.925481,0.609544,0.780002,0.187331,0.861299
BraTS-GLI-00819-000_real_label_81,0.719139,0.881629,0.342516,0.933271,0.623285,0.788315,0.206648,0.874891
BraTS-GLI-00819-000_real_label_84,0.742496,0.898273,0.386424,0.942792,0.648863,0.815331,0.239483,0.891776
BraTS-GLI-00819-000_real_label_85,0.724464,0.898330,0.344690,0.930371,0.631155,0.815425,0.208233,0.869807
BraTS-GLI-00819-000_real_label_86,0.711377,0.882794,0.313088,0.938248,0.619819,0.790180,0.185599,0.883680
BraTS-GLI-00819-000_real_label_87,0.701916,0.919164,0.250860,0.935723,0.624350,0.850420,0.143419,0.879210
BraTS-GLI-00819-000_real_label_88,0.735330,0.890064,0.392158,0.923767,0.634715,0.801906,0.243904,0.858334
BraTS-GLI-00819-000_real_label_89,0.721052,0.878611,0.344541,0.940004,0.626142,0.783502,0.208124,0.886800
BraTS-GLI-00819-000_real_label_91,0.712821,0.897378,0.310109,0.930976,0.622744,0.813859,0.183508,0.870866
