case,dice,iou
BraTS-GLI-00819-000_real_label_45,0.876407,0.780004
BraTS-GLI-00819-000_real_label_47,0.911030,0.836598
BraTS-GLI-00819-000_real_label_48,0.885870,0.795123
BraTS-GLI-00819-000_real_label_51,0.898694,0.816026
BraTS-GLI-00819-000_real_label_52,0.907428,0.830542
BraTS-GLI-00819-000_real_label_54,0.889396,0.800821
BraTS-GLI-00819-000_real_label_55,0.885397,0.794361
BraTS-GLI-00819-000_real_label_56,0.905587,0.827464
BraTS-GLI-00819-000_real_label_60,0.872001,0.773052
BraTS-GLI-00819-000_real_label_63,0.862228,0.757821
BraTS-GLI-00819-000_real_label_68,0.899788,0.817831
BraTS-GLI-00819-000_real_label_7,0.877732,0.782106
BraTS-GLI-00819-000_real_label_72,0.898838,0.816263
BraTS-GLI-00819-000_real_label_73,0.868342,0.767319
BraTS-GLI-00819-000_real_label_76,0.859727,0.753965
BraTS-GLI-00819-000_real_label_78,0.876402,0.779995
BraTS-GLI-00819-000_real_label_81,0.881627,0.788313
BraTS-GLI-00819-000_real_label_84,0.898271,0.815329
BraTS-GLI-00819-000_real_label_85,0.898329,0.815423
BraTS-GLI-00819-000_real_label_86,0.882789,0.790173
BraTS-GLI-00819-000_real_label_87,0.919163,0.850417
BraTS-GLI-00819-000_real_label_88,0.890072,0.801918
BraTS-GLI-00819-000_real_label_89,0.878607,0.783496
BraTS-GLI-00819-000_real_label_91,0.897383,0.813866
BraTS-GLI-00819-000_real_label_92,0.878259,0.782942
BraTS-GLI-00819-000_real_label_93,0.894054,0.808407
BraTS-GLI-00819-000_real_label_94,0.890031,0.801852
BraTS-GLI-00819-000_real_label_96,0.914810,0.842996
BraTS-GLI-00819-000_real_label_98,0.891468,0.804188
BraTS-GLI-00820-000_fake_label_0,0.915758,0.844606
BraTS-GLI-00820-000_fake_label_1,0.934817,0.877611
BraTS-GLI-00820-000_fake_label_10,0.905076,0.826611
BraTS-GLI-00820-000_fake_label_11,0.912504,0.839087
BraTS-GLI-00820-000_fake_label_12,0.918490,0.849266
BraTS-GLI-00820-000_fake_label_15,0.928074,0.865801
BraTS-GLI-00820-000_fake_label_16,0.864083,0.760693
BraTS-GLI-00820-000_fake_label_19,0.922894,0.856827
