case,dice,iou
BraTS-GLI-00032-001,0.9934722324473814,0.9870291356819874
BraTS-GLI-00022-001,0.9894820567026514,0.9791830647498883
BraTS-GLI-00003-000,0.986061486909254,0.9725061965577029
BraTS-GLI-00006-000,0.9851212530694322,0.9706787693099939
BraTS-GLI-00014-001,0.9843562913216481,0.9691944949893722
BraTS-GLI-00012-000,0.9818840511557644,0.9644127982381558
BraTS-GLI-00024-001,0.9818325012680552,0.9643133398884347
BraTS-GLI-00020-001,0.9814487361631099,0.9635732348571101
BraTS-GLI-00024-000,0.9788235063008427,0.958525301297435
BraTS-GLI-00017-001,0.9785669146254364,0.9580333050075349
BraTS-GLI-00008-001,0.9774024048222245,0.9558035432816621
BraTS-GLI-00018-000,0.974103036454974,0.9495135194561098
BraTS-GLI-00032-000,0.9739828821316808,0.9492852167566698
BraTS-GLI-00017-000,0.9728323264732673,0.9471017746626436
BraTS-GLI-00009-001,0.9716296378171454,0.9448246211167838
BraTS-GLI-00011-000,0.9677350274822636,0.9374870340915653
BraTS-GLI-00030-000,0.9669410588560199,0.9359979574691615
BraTS-GLI-00000-000,0.9663176373581673,0.9348303427452337
BraTS-GLI-00020-000,0.9658140289834967,0.933888155564706
BraTS-GLI-00016-001,0.9655576480434563,0.9334088518487292
BraTS-GLI-00005-000,0.9606571552096445,0.9242928452578296
BraTS-GLI-00016-000,0.9596925160313219,0.9225085187027423
BraTS-GLI-00021-001,0.9594903251926573,0.9221349386975315
BraTS-GLI-00031-001,0.9518214468958218,0.9080718586322959
BraTS-GLI-00019-000,0.9499816550252903,0.9047286264776366
BraTS-GLI-00022-000,0.9479151753757629,0.9009874044275095
BraTS-GLI-00014-000,0.9452488806262018,0.8961819174815312
BraTS-GLI-00009-000,0.9439663065370915,0.8938789665334164
BraTS-GLI-00008-000,0.9416274707047276,0.8896937936699086
BraTS-GLI-00028-000,0.9329477342162622,0.8743224339915744
BraTS-GLI-00002-000,0.9164776908199888,0.8458318606412094
BraTS-GLI-00031-000,0.9162062048511324,0.8453694872143868
BraTS-GLI-00026-000,0.9159937773167703,0.8450078589488356
BraTS-GLI-00021-000,0.9014247081326593,0.8205397616402169
BraTS-GLI-00025-000,0.6936798531983328,0.5310182614091238
